class_label,sample_count
rest,5748692
E3_L23,124115
E3_L20,115854
E3_L17,115398
E3_L15,113309
E3_L19,110345
E3_L14,108903
E3_L11,108540
E3_L18,108121
E3_L21,107846
E3_L6,106980
E3_L22,106193
E2_L16,105868
E3_L5,105057
E2_L1,104807
E3_L16,103894
E3_L8,103040
E2_L17,102953
E2_L11,102617
E2_L9,102373
E3_L12,101911
E3_L10,101400
E3_L7,100988
E3_L9,99604
E3_L2,99479
E3_L13,99413
E3_L4,98819
E3_L3,98364
E2_L2,98023
E2_L13,97912
E2_L12,96970
E2_L4,96902
E2_L7,96855
E2_L10,96809
E3_L1,96108
E2_L8,95915
E2_L3,95261
E2_L5,87657
E2_L15,87300
E2_L6,86181
E2_L14,85442
