run_id,subject,exercise,restimulus,rerepetition,n_samples,first_source_row,last_source_row,duration_seconds,segment_type
1,10,2,0,0,362,100778,101139,3.62,rest
2,10,2,1,1,367,101140,101506,3.67,active
3,10,2,0,0,530,101507,102036,5.3,rest
4,10,2,1,2,518,102037,102554,5.18,active
5,10,2,0,0,321,102555,102875,3.21,rest
6,10,2,1,3,294,102876,103169,2.94,active
7,10,2,0,0,544,103170,103713,5.44,rest
8,10,2,1,4,286,103714,103999,2.86,active
9,10,2,0,0,590,104000,104589,5.9,rest
10,10,2,1,5,314,104590,104903,3.14,active
11,10,2,0,0,480,104904,105383,4.8,rest
12,10,2,1,6,324,105384,105707,3.24,active
13,10,2,0,0,593,105708,106300,5.93,rest
14,10,2,1,7,215,106301,106515,2.15,active
15,10,2,0,0,572,106516,107087,5.72,rest
16,10,2,1,8,268,107088,107355,2.68,active
17,10,2,0,0,600,107356,107955,6.0,rest
18,10,2,1,9,229,107956,108184,2.29,active
19,10,2,0,0,525,108185,108709,5.25,rest
20,10,2,1,10,344,108710,109053,3.44,active
21,10,2,0,0,608,109054,109661,6.08,rest
22,10,2,2,1,331,109662,109992,3.31,active
23,10,2,0,0,414,109993,110406,4.14,rest
24,10,2,2,2,376,110407,110782,3.76,active
25,10,2,0,0,419,110783,111201,4.19,rest
26,10,2,2,3,435,111202,111636,4.35,active
27,10,2,0,0,405,111637,112041,4.05,rest
28,10,2,2,4,419,112042,112460,4.19,active
29,10,2,0,0,445,112461,112905,4.45,rest
30,10,2,2,5,439,112906,113344,4.39,active
31,10,2,0,0,418,113345,113762,4.18,rest
32,10,2,2,6,336,113763,114098,3.36,active
33,10,2,0,0,522,114099,114620,5.22,rest
34,10,2,2,7,328,114621,114948,3.28,active
35,10,2,0,0,500,114949,115448,5.0,rest
36,10,2,2,8,339,115449,115787,3.39,active
37,10,2,0,0,459,115788,116246,4.59,rest
38,10,2,2,9,382,116247,116628,3.82,active
39,10,2,0,0,488,116629,117116,4.88,rest
40,10,2,2,10,344,117117,117460,3.44,active
41,10,2,0,0,528,117461,117988,5.28,rest
42,10,2,3,1,397,117989,118385,3.97,active
43,10,2,0,0,410,118386,118795,4.1,rest
44,10,2,3,2,405,118796,119200,4.05,active
45,10,2,0,0,438,119201,119638,4.38,rest
46,10,2,3,3,423,119639,120061,4.23,active
47,10,2,0,0,416,120062,120477,4.16,rest
48,10,2,3,4,306,120478,120783,3.06,active
49,10,2,0,0,534,120784,121317,5.34,rest
50,10,2,3,5,362,121318,121679,3.62,active
51,10,2,0,0,475,121680,122154,4.75,rest
52,10,2,3,6,323,122155,122477,3.23,active
53,10,2,0,0,515,122478,122992,5.15,rest
54,10,2,3,7,384,122993,123376,3.84,active
55,10,2,0,0,441,123377,123817,4.41,rest
56,10,2,3,8,333,123818,124150,3.33,active
57,10,2,0,0,498,124151,124648,4.98,rest
58,10,2,3,9,322,124649,124970,3.22,active
59,10,2,0,0,513,124971,125483,5.13,rest
60,10,2,3,10,334,125484,125817,3.34,active
61,10,2,0,0,536,125818,126353,5.36,rest
62,10,2,4,1,381,126354,126734,3.81,active
63,10,2,0,0,505,126735,127239,5.05,rest
64,10,2,4,2,355,127240,127594,3.55,active
65,10,2,0,0,430,127595,128024,4.3,rest
66,10,2,4,3,455,128025,128479,4.55,active
67,10,2,0,0,382,128480,128861,3.82,rest
68,10,2,4,4,379,128862,129240,3.79,active
69,10,2,0,0,475,129241,129715,4.75,rest
70,10,2,4,5,353,129716,130068,3.53,active
71,10,2,0,0,484,130069,130552,4.84,rest
72,10,2,4,6,339,130553,130891,3.39,active
73,10,2,0,0,510,130892,131401,5.1,rest
74,10,2,4,7,356,131402,131757,3.56,active
75,10,2,0,0,468,131758,132225,4.68,rest
76,10,2,4,8,330,132226,132555,3.3,active
77,10,2,0,0,498,132556,133053,4.98,rest
78,10,2,4,9,311,133054,133364,3.11,active
79,10,2,0,0,533,133365,133897,5.33,rest
80,10,2,4,10,374,133898,134271,3.74,active
81,10,2,0,0,505,134272,134776,5.05,rest
82,10,2,5,1,385,134777,135161,3.85,active
83,10,2,0,0,461,135162,135622,4.61,rest
84,10,2,5,2,246,135623,135868,2.46,active
85,10,2,0,0,570,135869,136438,5.7,rest
86,10,2,5,3,411,136439,136849,4.11,active
87,10,2,0,0,426,136850,137275,4.26,rest
88,10,2,5,4,373,137276,137648,3.73,active
89,10,2,0,0,459,137649,138107,4.59,rest
90,10,2,5,5,332,138108,138439,3.32,active
91,10,2,0,0,517,138440,138956,5.17,rest
92,10,2,5,6,373,138957,139329,3.73,active
93,10,2,0,0,423,139330,139752,4.23,rest
94,10,2,5,7,376,139753,140128,3.76,active
95,10,2,0,0,480,140129,140608,4.8,rest
96,10,2,5,8,392,140609,141000,3.92,active
97,10,2,0,0,445,141001,141445,4.45,rest
98,10,2,5,9,283,141446,141728,2.83,active
99,10,2,0,0,551,141729,142279,5.51,rest
100,10,2,5,10,263,142280,142542,2.63,active
101,10,2,0,0,654,142543,143196,6.54,rest
102,10,2,6,1,249,143197,143445,2.49,active
103,10,2,0,0,550,143446,143995,5.5,rest
104,10,2,6,2,323,143996,144318,3.23,active
105,10,2,0,0,496,144319,144814,4.96,rest
106,10,2,6,3,361,144815,145175,3.61,active
107,10,2,0,0,471,145176,145646,4.71,rest
108,10,2,6,4,355,145647,146001,3.55,active
109,10,2,0,0,455,146002,146456,4.55,rest
110,10,2,6,5,404,146457,146860,4.04,active
111,10,2,0,0,493,146861,147353,4.93,rest
112,10,2,6,6,356,147354,147709,3.56,active
113,10,2,0,0,458,147710,148167,4.58,rest
114,10,2,6,7,407,148168,148574,4.07,active
115,10,2,0,0,433,148575,149007,4.33,rest
116,10,2,6,8,346,149008,149353,3.46,active
117,10,2,0,0,510,149354,149863,5.1,rest
118,10,2,6,9,239,149864,150102,2.39,active
119,10,2,0,0,591,150103,150693,5.91,rest
120,10,2,6,10,313,150694,151006,3.13,active
121,10,2,0,0,541,151007,151547,5.41,rest
122,10,2,7,1,363,151548,151910,3.63,active
123,10,2,0,0,453,151911,152363,4.53,rest
124,10,2,7,2,356,152364,152719,3.56,active
125,10,2,0,0,456,152720,153175,4.56,rest
126,10,2,7,3,406,153176,153581,4.06,active
127,10,2,0,0,430,153582,154011,4.3,rest
128,10,2,7,4,424,154012,154435,4.24,active
129,10,2,0,0,409,154436,154844,4.09,rest
130,10,2,7,5,428,154845,155272,4.28,active
131,10,2,0,0,445,155273,155717,4.45,rest
132,10,2,7,6,447,155718,156164,4.47,active
133,10,2,0,0,349,156165,156513,3.49,rest
