subject,split,rest_segments,high_peak_segments_ge_1_4,high_peak_rate_ge_1_4
1,train,402,44,0.10945
2,train,402,17,0.04229
3,train,402,11,0.02736
4,holdout,402,23,0.05721
5,train,402,58,0.14428
6,train,402,71,0.17662
7,train,402,30,0.07463
8,train,402,1,0.00249
9,train,402,26,0.06468
10,train,402,11,0.02736
11,test,402,49,0.12189
12,train,402,11,0.02736
13,holdout,402,101,0.25124
14,test,402,38,0.09453
15,train,402,67,0.16667
16,validation,402,12,0.02985
17,train,402,13,0.03234
18,holdout,402,32,0.07960
19,test,402,48,0.11940
20,validation,402,8,0.01990
21,train,402,7,0.01741
22,train,402,5,0.01244
23,validation,402,29,0.07214
24,train,402,28,0.06965
25,train,402,9,0.02239
26,train,402,30,0.07463
27,train,402,24,0.05970
